"","dataset.id","site.name","lat","long","depth","Acer","Alismataceae","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Asteraceae undiff.","Betula","Botrychium","Brassicaceae","Campanulaceae undiff.","Cannabaceae undiff.","Carya","Castanea","Ceanothus/Rhamnus","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae undiff.","Cyperaceae","Dryopteris","Elaeagnaceae undiff.","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Galium","Ilex","Impatiens","Iva","Juglans","Larix","Liquidambar","Lycopodiaceae undiff.","Mentha","Moraceae undiff.","Morus","Myrica","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Oxalidaceae","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polygonaceae undiff.","Polypodiophyta undiff.","Polypodium","Populus","Potentilla","Pteridium","Quercus","Ranunculaceae undiff.","Rosaceae undiff.","Rumex/Oxyria","Salix","Salsola","Sambucus","Sarcobatus","Saxifragaceae undiff.","Stachys","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae","Viburnum","Vitaceae","Xanthium","Zanthoxylum"
"46","19937","Spicer Lake",41.75738,-86.52208,360.5,35,0,1,2,7,0,0,2,0,0,0,0,0,7,0,0,1,0,2,5,7,6,7,0,1,1,27,16,0,0,0,0,1,3,0,0,0,0,0,0,4,0,1,0,1,0,0,0,2,0,3,2,0,0,2,0,0,83,1,0,9,2,0,0,0,0,0,0,2,0,20,0,0,0,0,0
"47","19937","Spicer Lake",41.75738,-86.52208,368.5,22,0,1,2,2,1,0,0,1,0,0,0,0,16,0,0,0,1,0,0,4,2,3,0,0,0,41,20,0,0,0,3,5,5,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,98,0,0,5,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0
"48","19937","Spicer Lake",41.75738,-86.52208,376.5,19,0,0,4,4,0,0,1,3,0,0,0,0,9,0,0,1,0,0,0,6,4,4,0,0,0,44,17,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,3,0,0,0,5,0,0,89,1,1,6,2,0,0,0,0,0,0,3,0,24,0,0,0,0,0
"49","19937","Spicer Lake",41.75738,-86.52208,384.5,20,0,0,2,3,0,0,0,2,1,0,0,0,15,0,0,0,0,3,2,7,1,2,0,2,0,35,7,0,0,0,0,6,5,0,0,0,0,1,0,3,0,2,0,1.5,1,0,0,1,0,2,0,0,0,2,0,0,94,0,1,5,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0
"50","19937","Spicer Lake",41.75738,-86.52208,392.5,20,0,1,2,9,1,0,0,0,6,0,0,0,17,0,0,0,0,0,1,9,6,0,0,0,0,32,15,0,0,0,0,3,2,0,0,0,0,1,0,3,0,1,0,2.5,0,0,0,0,0,2,0,0,0,0,0,0,94,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0
"51","19937","Spicer Lake",41.75738,-86.52208,400.5,12,0,0,0,4,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,3,5,8,0,0,0,44,10,0,0,0,0,6,0,0,0,0,0,0,0,3,0,2,0,5.5,0,0,0,0,0,2,0,0,0,0,0,0,81,0,0,0,2,0,0,0,0,0,0,4,0,31,0,0,0,0,0
"52","19937","Spicer Lake",41.75738,-86.52208,408.5,6,0,0,3,4,0,0,0,1,0,0,0,0,15,0,0,0,1,1,1,7,3,6,0,1,0,30,15,0,0,0,0,2,2,0,0,0,0,1,0,1,0,1,0,3,0,0,2,1,0,6,0,0,0,0,0,0,102,0,0,4,2,0,0,0,0,1,0,0,0,30,0,0,0,0,0
"53","19937","Spicer Lake",41.75738,-86.52208,416.5,8,0,0,1,3,0,0,1,1,0,0,0,0,12,0,0,0,1,1,2,3,2,13,0,0,0,45,10,0,0,0,0,9,0,0,0,0,0,0,0,1,0,2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,3,0,0,0,0,0,0,0,5,0,27,0,0,0,0,0
"54","19937","Spicer Lake",41.75738,-86.52208,424.5,11,0,0,0,8,0,0,2,3,0,0,0,0,16,0,0,0,0,0,2,5,0,7,0,0,0,55,10,0,0,0,0,2,0,0,0,0,0,0,0,6,0,1,0,4.5,1,0,1,2,0,2,0,0,0,1,0,0,88,0,0,8,0,0,0,0,0,0,0,3,0,27,0,0,0,0,0
"55","19937","Spicer Lake",41.75738,-86.52208,432.5,23,0,0,1,4,1,0,0,2,0,0,0,0,9,0,0,0,1,1,0,7,9,9,1,1,0,57,9,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0.5,1,0,2,0,0,0,2,0,0,76,0,0,1,0,0,0,0,0,1,0,2,0,26,0,0,0,0,0
