"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Corylus","Cupressaceae undiff.","Cyperaceae","Ericaceae undiff.","Fagus","Fraxinus","Huperzia","Juglans","Larix","Lycopodiaceae undiff.","Menyanthes","Myricaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Pteridium","Quercus","Salix","Tilia","Tsuga","Ulmus"
"59","20397","South Rhody peatland",46.565795,-86.0752,276.5,1,2,0,0,0,0,26,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,71,74,23,0,1,5,0,0,2,0
"60","20397","South Rhody peatland",46.565795,-86.0752,277.5,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,71,70,0,0,3,0,0,1,1
"61","20397","South Rhody peatland",46.565795,-86.0752,278.5,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,66,93,1,1,10,0,0,1,1
"62","20397","South Rhody peatland",46.565795,-86.0752,279.5,0,2,0,4,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,88,47,100,0,0,1,0,0,0,0
"63","20397","South Rhody peatland",46.565795,-86.0752,280.5,1,2,0,2,2,0,13,0,1,0,0,3,1,0,0,0,0,0,0,0,0,2,3,73,63,72,1,2,10,0,0,0,1
"64","20397","South Rhody peatland",46.565795,-86.0752,281.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,109,49,0,0,1,0,0,0,0
"65","20397","South Rhody peatland",46.565795,-86.0752,283.5,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,109,109,35,2,0,2,0,0,1,0
"66","20397","South Rhody peatland",46.565795,-86.0752,286.5,1,0,1,0,2,0,11,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,79,93,21,0,0,2,0,0,0,2
"67","20397","South Rhody peatland",46.565795,-86.0752,290.5,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,43,97,21,1,0,5,0,0,11,0
"68","20397","South Rhody peatland",46.565795,-86.0752,291.5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,66,39,0,0,0,0,0,0,0
"69","20397","South Rhody peatland",46.565795,-86.0752,296.5,0,0,0,0,1,0,12,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,3,86,69,31,0,0,3,0,0,0,1
"70","20397","South Rhody peatland",46.565795,-86.0752,301.5,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,101,28,0,1,4,0,0,2,0
"71","20397","South Rhody peatland",46.565795,-86.0752,306.5,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,65,116,14,1,0,1,0,0,1,0
"72","20397","South Rhody peatland",46.565795,-86.0752,311.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,112,23,0,0,1,0,0,0,0
"73","20397","South Rhody peatland",46.565795,-86.0752,316.5,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,60,113,16,2,1,4,0,0,3,1
"74","20397","South Rhody peatland",46.565795,-86.0752,321.5,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,63,91,35,0,1,3,0,0,7,0
"75","20397","South Rhody peatland",46.565795,-86.0752,326.5,1,2,0,0,0,1,6,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,70,83,20,0,1,4,0,0,15,2
